"","total"
"2013-07-26",601386
"2013-07-27",805623
"2013-07-28",661209
"2013-07-29",364397
"2013-07-30",379709
"2013-07-31",400116
"2013-08-01",494959
"2013-08-02",504851
"2013-08-03",797576
"2013-08-04",661984
"2013-08-05",370756
"2013-08-06",371732
"2013-08-07",423840
"2013-08-08",506744
"2013-08-09",562931
"2013-08-10",750067
"2013-08-11",647109
"2013-08-12",369554
"2013-08-13",358650
"2013-08-14",377360
"2013-08-15",610424
"2013-08-16",636603
"2013-08-17",868124
"2013-08-18",764737
"2013-08-19",407673
"2013-08-20",446310
"2013-08-21",451100
"2013-08-22",410148
"2013-08-23",478336
"2013-08-24",688071
"2013-08-25",717522
"2013-08-26",402075
"2013-08-27",357449
"2013-08-28",398895
"2013-08-29",434408
"2013-08-30",459936
"2013-08-31",638472
"2013-09-01",552532
"2013-09-02",337600
"2013-09-03",270921
"2013-09-04",227249
"2013-09-05",222776
"2013-09-06",251841
"2013-09-07",645856
"2013-09-08",513926
"2013-09-09",201746
"2013-09-10",230743
"2013-09-11",262613
"2013-09-12",279638
"2013-09-13",346500
"2013-09-14",642962
"2013-09-15",545794
"2013-09-16",210872
"2013-09-17",252549
"2013-09-18",216068
"2013-09-19",286228
"2013-09-20",359790
"2013-09-21",601263
"2013-09-22",514424
"2013-09-23",194697
"2013-09-24",232431
"2013-09-25",235178
"2013-09-26",272845
"2013-09-27",314277
"2013-09-28",625725
"2013-09-29",545433
"2013-09-30",167934
"2013-10-01",258865
"2013-10-02",212680
"2013-10-03",325077
"2013-10-04",453495
"2013-10-05",743626
"2013-10-06",641399
"2013-10-07",259753
"2013-10-08",344920
"2013-10-09",282751
"2013-10-10",439040
"2013-10-11",560014
"2013-10-12",1061965
"2013-10-13",995899
"2013-10-14",352056
"2013-10-15",386682
"2013-10-16",398917
"2013-10-17",396175
"2013-10-18",511927
"2013-10-19",977532
"2013-10-20",838144
"2013-10-21",280842
"2013-10-22",371139
"2013-10-23",307679
"2013-10-24",340218
"2013-10-25",459894
"2013-10-26",992228.5
"2013-10-27",838284
"2013-10-28",373884
"2013-10-29",439368
"2013-10-30",429259
"2013-10-31",358055
"2013-11-01",587406.5
"2013-11-02",1073008
"2013-11-03",1182100.5
"2013-11-04",927898
"2013-11-05",335707
"2013-11-06",330854
"2013-11-07",318393
"2013-11-08",432221
"2013-11-09",942092
"2013-11-10",786185
"2013-11-11",247887
"2013-11-12",283827
"2013-11-13",257001
"2013-11-14",349257
"2013-11-15",487018
"2013-11-16",985079.5
"2013-11-17",791994
"2013-11-18",285445
"2013-11-19",303027
"2013-11-20",290378
"2013-11-21",432264
"2013-11-22",535821
"2013-11-23",891264
"2013-11-24",691373.5
"2013-11-25",269307
"2013-11-26",259502
"2013-11-27",239320
"2013-11-28",261099
"2013-11-29",334176
"2013-11-30",654870
"2013-12-01",561063
"2013-12-02",197977
"2013-12-03",221326
"2013-12-04",208340
"2013-12-05",230408
"2013-12-06",295869
"2013-12-07",679613
"2013-12-08",548232
"2013-12-09",203911
"2013-12-10",239507
"2013-12-11",214283
"2013-12-12",238569
"2013-12-13",346383
"2013-12-14",664306
"2013-12-15",614704
"2013-12-16",185795
"2013-12-17",233973
"2013-12-18",354232
"2013-12-19",377229
"2013-12-20",451577
"2013-12-21",904557
"2013-12-22",845397
"2013-12-23",270507.5
"2013-12-24",299501
"2013-12-25",329928.5
"2013-12-26",473194
"2013-12-27",512813
"2013-12-28",932416
"2013-12-29",894176
"2013-12-30",502151.5
"2013-12-31",221600
"2014-01-01",1213128
"2014-01-02",1672907
"2014-01-03",1523974.5
"2014-01-04",1427161
"2014-01-05",1373712
"2014-01-06",1220991.5
"2014-01-07",1176285
"2014-01-08",940131
"2014-01-09",492881
"2014-01-10",583807
"2014-01-11",929930
"2014-01-12",658527
"2014-01-13",280505
"2014-01-14",298285
"2014-01-15",279310
"2014-01-16",296700
"2014-01-17",387805
"2014-01-18",711800
"2014-01-19",646680
"2014-01-20",212430
"2014-01-21",277800
"2014-01-22",244790
"2014-01-23",322620
"2014-01-24",401500
"2014-01-25",851301
"2014-01-26",690685
"2014-01-27",241410
"2014-01-28",258206
"2014-01-29",215640
"2014-01-30",325167
"2014-01-31",440210
"2014-02-01",929453
"2014-02-02",770860
"2014-02-03",273100
"2014-02-04",312490
"2014-02-05",280750
"2014-02-06",312375
"2014-02-07",353780
"2014-02-08",742780
"2014-02-09",653730
"2014-02-10",255410
"2014-02-11",323790
"2014-02-12",218250
"2014-02-13",289112
"2014-02-14",648232
"2014-02-15",811835
"2014-02-16",693025
"2014-02-17",238565
"2014-02-18",316755
"2014-02-19",221365
"2014-02-20",230250
"2014-02-21",334165
"2014-02-22",754735
"2014-02-23",678700
"2014-02-24",227360
"2014-02-25",286120
"2014-02-26",237515
"2014-02-27",242685
"2014-02-28",337275
"2014-03-01",743430
"2014-03-02",605240
"2014-03-03",202550
"2014-03-04",266140
"2014-03-05",201060
"2014-03-06",279907
"2014-03-07",433067
"2014-03-08",1072690
"2014-03-09",979920
"2014-03-10",690860
"2014-03-11",268235
"2014-03-12",243665
"2014-03-13",275090
"2014-03-14",380120
"2014-03-15",771954
"2014-03-16",733735
"2014-03-17",235210
"2014-03-18",311550
"2014-03-19",263410
"2014-03-20",318980
"2014-03-21",444890
"2014-03-22",944875
"2014-03-23",918554
"2014-03-24",358910
"2014-03-25",503545
"2014-03-26",401380
"2014-03-27",593261
"2014-03-28",756223
"2014-03-29",1266260
"2014-03-30",1010880
"2014-03-31",375950
"2014-04-01",364310
"2014-04-02",278430
"2014-04-03",319780
"2014-04-04",424334
"2014-04-05",899807
"2014-04-06",747070
"2014-04-07",231978
"2014-04-08",319975
"2014-04-09",247515
"2014-04-10",276265
"2014-04-11",406534
"2014-04-12",779758
"2014-04-13",684323
"2014-04-14",203570
"2014-04-15",296625
"2014-04-16",223747
"2014-04-17",241777
"2014-04-18",332108
"2014-04-19",577375
"2014-04-20",544250
"2014-04-21",191150
"2014-04-22",277920
"2014-04-23",204485
"2014-04-24",358365
"2014-04-25",340840
"2014-04-26",832795
"2014-04-27",755072
"2014-04-28",240770
"2014-04-29",267690
"2014-04-30",313402
"2014-05-01",877418
"2014-05-02",771685
"2014-05-03",666265
"2014-05-04",522905
"2014-05-05",192600
"2014-05-06",290750
"2014-05-07",212770
"2014-05-08",327300
"2014-05-09",551870
"2014-05-10",494070
"2014-05-11",420900
"2014-05-12",149700
"2014-05-13",208880
"2014-05-14",159185
"2014-05-15",241290
"2014-05-16",329390
"2014-05-17",534015
"2014-05-18",561543
"2014-05-19",191746
"2014-05-20",264145
"2014-05-21",165420
"2014-05-22",351415
"2014-05-23",435205
"2014-05-24",684462
"2014-05-25",487739
"2014-05-26",269525
"2014-05-27",373715
"2014-05-28",299629
"2014-05-29",479805
"2014-05-30",541866
"2014-05-31",767435
"2014-06-01",654880
"2014-06-02",303766
"2014-06-03",457325
"2014-06-04",311620
"2014-06-05",414481
"2014-06-06",468606
"2014-06-07",793024
"2014-06-08",596271
"2014-06-09",322921
"2014-06-10",396615
"2014-06-11",460939
"2014-06-12",1195174
"2014-06-13",982645
"2014-06-14",864797
"2014-06-15",708641
"2014-06-16",434961
"2014-06-17",500018
"2014-06-18",409593
"2014-06-19",394754
"2014-06-20",415665
"2014-06-21",586326
"2014-06-22",422387
"2014-06-23",261080
"2014-06-24",303564
"2014-06-25",327117
"2014-06-26",601188
"2014-06-27",574249
"2014-06-28",776103
"2014-06-29",702841
"2014-06-30",371166
"2014-07-01",376983
"2014-07-02",303814
"2014-07-03",373506
"2014-07-04",371764
"2014-07-05",538582
"2014-07-06",490502
"2014-07-07",327031
"2014-07-08",330962
"2014-07-09",290399
"2014-07-10",343524
"2014-07-11",457741
"2014-07-12",799727
"2014-07-13",675474
"2014-07-14",333575
"2014-07-15",355637
"2014-07-16",279155
"2014-07-17",562133
"2014-07-18",612818
"2014-07-19",948124
"2014-07-20",898559
"2014-07-21",408657
"2014-07-22",489622
"2014-07-23",430817
"2014-07-24",556028
"2014-07-25",568706
"2014-07-26",851465
"2014-07-27",814377
"2014-07-28",387334
"2014-07-29",437528
"2014-07-30",351038
"2014-07-31",534244
"2014-08-01",569916
"2014-08-02",804850
"2014-08-03",696144
"2014-08-04",398415
"2014-08-05",437447
"2014-08-06",364445
"2014-08-07",528931
"2014-08-08",507046
"2014-08-09",639819
"2014-08-10",533089
"2014-08-11",261908
"2014-08-12",486314
"2014-08-13",408522
"2014-08-14",420696
"2014-08-15",471083
"2014-08-16",648445
"2014-08-17",584354
"2014-08-18",304874
"2014-08-19",396388
"2014-08-20",324926
"2014-08-21",367962
"2014-08-22",408086
"2014-08-23",683101
"2014-08-24",577132
"2014-08-25",309433
"2014-08-26",345051
"2014-08-27",316060
"2014-08-28",351147
"2014-08-29",388956
"2014-08-30",583074
"2014-08-31",513666
"2014-09-01",305120
"2014-09-02",261880
"2014-09-03",202070
"2014-09-04",174010
"2014-09-05",249345
"2014-09-06",561385
"2014-09-07",464540
"2014-09-08",158093
"2014-09-09",226435
"2014-09-10",173125
"2014-09-11",265577
"2014-09-12",322582
"2014-09-13",609662
"2014-09-14",642158
"2014-09-15",220814
"2014-09-16",305975
"2014-09-17",215786
"2014-09-18",286218
"2014-09-19",330079
"2014-09-20",722989
"2014-09-21",593425
"2014-09-22",200691
"2014-09-23",297415
"2014-09-24",206086
"2014-09-25",273240
"2014-09-26",374551
"2014-09-27",705175
"2014-09-28",634011
"2014-09-29",197778
"2014-09-30",278810
"2014-10-01",203856
"2014-10-02",281955
"2014-10-03",403382
"2014-10-04",823470
"2014-10-05",674470
"2014-10-06",270769
"2014-10-07",291960
"2014-10-08",225021
"2014-10-09",350331
"2014-10-10",409242
"2014-10-11",840531
"2014-10-12",700834
"2014-10-13",218005
"2014-10-14",321340
"2014-10-15",275975
"2014-10-16",263064
"2014-10-17",382807
"2014-10-18",639117
"2014-10-19",578933
"2014-10-20",186723
"2014-10-21",279340
"2014-10-22",245595
"2014-10-23",289817
"2014-10-24",429802
"2014-10-25",773337
"2014-10-26",721525
"2014-10-27",259368
"2014-10-28",348542
"2014-10-29",274392
"2014-10-30",329509
"2014-10-31",384244
"2014-11-01",768884
"2014-11-02",915767
"2014-11-03",822321
"2014-11-04",621185
"2014-11-05",208597
"2014-11-06",332062
"2014-11-07",447034
"2014-11-08",802914
"2014-11-09",675920
"2014-11-10",215943
"2014-11-11",322625
"2014-11-12",214571
"2014-11-13",253367
"2014-11-14",350687
"2014-11-15",827100
"2014-11-16",686877
"2014-11-17",178015
"2014-11-18",269933
"2014-11-19",219786
"2014-11-20",417826
"2014-11-21",445204
"2014-11-22",910656
"2014-11-23",714924
"2014-11-24",217344
"2014-11-25",301501
"2014-11-26",220480
"2014-11-27",284644
"2014-11-28",419844
"2014-11-29",887853
"2014-11-30",754549
"2014-12-01",196796
"2014-12-02",271028
"2014-12-03",193182
"2014-12-04",243637
"2014-12-05",293081
"2014-12-06",653427
"2014-12-07",559243
"2014-12-08",167944
"2014-12-09",248092
"2014-12-10",175337
"2014-12-11",533549
"2014-12-12",551206
"2014-12-13",1110960
"2014-12-14",950843
"2014-12-15",290023
"2014-12-16",325458
"2014-12-17",254618
"2014-12-18",206599
"2014-12-19",362780
"2014-12-20",713627
"2014-12-21",641470
"2014-12-22",204483
"2014-12-23",247388
"2014-12-24",184026
"2014-12-25",268323
"2014-12-26",370638
"2014-12-27",709476
"2014-12-28",686693
"2014-12-29",347529
"2014-12-30",360029
"2014-12-31",168169
"2015-01-01",1451619
"2015-01-02",1973310
"2015-01-03",1836040
"2015-01-04",1678405
"2015-01-05",1563091
"2015-01-06",1308604
"2015-01-07",1371969
"2015-01-08",1412412
"2015-01-09",1233197
"2015-01-10",1218745
"2015-01-11",835015
"2015-01-12",247315
"2015-01-13",334722
"2015-01-14",254775
"2015-01-15",285069
"2015-01-16",423364
"2015-01-17",848567
"2015-01-18",692517
"2015-01-19",211434
"2015-01-20",307364
"2015-01-21",239894
"2015-01-22",275396
"2015-01-23",360400
"2015-01-24",826176
"2015-01-25",681115
"2015-01-26",220510
"2015-01-27",311196
"2015-01-28",212786
"2015-01-29",231985
"2015-01-30",279592
"2015-01-31",634005
"2015-02-01",510619
"2015-02-02",170309
"2015-02-03",240160
"2015-02-04",151366
"2015-02-05",285548
"2015-02-06",353931
"2015-02-07",733614
"2015-02-08",592069
"2015-02-09",195847
"2015-02-10",304388
"2015-02-11",213428
"2015-02-12",726904
"2015-02-13",794688
"2015-02-14",1449792
"2015-02-15",955673
"2015-02-16",407233
"2015-02-17",466040
"2015-02-18",341312
"2015-02-19",326473
"2015-02-20",512504
"2015-02-21",858813
"2015-02-22",865714
"2015-02-23",834024
"2015-02-24",322480
"2015-02-25",234019
"2015-02-26",341552
"2015-02-27",421073
"2015-02-28",898845
"2015-03-01",740298
"2015-03-02",218908
"2015-03-03",301730
"2015-03-04",223047
"2015-03-05",320315
"2015-03-06",467944
"2015-03-07",910521
"2015-03-08",1216500
"2015-03-09",844161
"2015-03-10",328535
"2015-03-11",264876
"2015-03-12",252394
"2015-03-13",371805
"2015-03-14",839727
"2015-03-15",685218
"2015-03-16",206233
"2015-03-17",310250
"2015-03-18",209815
"2015-03-19",294562
"2015-03-20",430276
"2015-03-21",890148
"2015-03-22",799533
"2015-03-23",342738
"2015-03-24",431604
"2015-03-25",363403
"2015-03-26",415361
"2015-03-27",521725
"2015-03-28",950445
"2015-03-29",710832
"2015-03-30",181367
"2015-03-31",257256
"2015-04-01",196441
"2015-04-02",231503
"2015-04-03",307530
"2015-04-04",742483
"2015-04-05",657752
"2015-04-06",169957
"2015-04-07",274030
"2015-04-08",163735
"2015-04-09",611447
"2015-04-10",667760
"2015-04-11",1100719
"2015-04-12",899355
"2015-04-13",322472
"2015-04-14",420176
"2015-04-15",311302
"2015-04-16",286702
"2015-04-17",381696
"2015-04-18",711904
"2015-04-19",626674
"2015-04-20",189115
"2015-04-21",263620
"2015-04-22",370956
"2015-04-23",611702
"2015-04-24",615909
"2015-04-25",1233609
"2015-04-26",927942
"2015-04-27",257690
"2015-04-28",309260
"2015-04-29",216176
"2015-04-30",334512
"2015-05-01",643070
"2015-05-02",633084
"2015-05-03",559696
"2015-05-04",390428
"2015-05-05",210420
"2015-05-06",138155
"2015-05-07",210807
"2015-05-08",285199
"2015-05-09",620157
"2015-05-10",672789
"2015-05-11",365163
"2015-05-12",180710
"2015-05-13",123770
"2015-05-14",183742
"2015-05-15",319178
"2015-05-16",524098
"2015-05-17",459692
"2015-05-18",181546
"2015-05-19",282171
"2015-05-20",168823
"2015-05-21",231803
"2015-05-22",320981
"2015-05-23",560925
"2015-05-24",577991
"2015-05-25",175766
"2015-05-26",244730
"2015-05-27",186718
"2015-05-28",273931
"2015-05-29",344616
"2015-05-30",476970
"2015-05-31",408424
"2015-06-01",235254
"2015-06-02",243232
"2015-06-03",239180
"2015-06-04",379360
"2015-06-05",402826
"2015-06-06",678590
"2015-06-07",662528
"2015-06-08",310866
"2015-06-09",399940
"2015-06-10",274623
"2015-06-11",581034
"2015-06-12",937544
"2015-06-13",917184
"2015-06-14",693357
"2015-06-15",307440
"2015-06-16",395983
"2015-06-17",290520
"2015-06-18",476532
"2015-06-19",514474
"2015-06-20",686401
"2015-06-21",578548
"2015-06-22",344293
"2015-06-23",393780
"2015-06-24",178515
"2015-06-25",0
"2015-06-26",0
"2015-06-27",0
"2015-06-28",0
"2015-06-29",0
